Id Fail Leverage CumulProfit Liquid OverDueDebt WorkCap OperProfit ShortDebt GuarDebt StateLag FiscalLag InFinan Links CapStruct
168 0 0 -0.09039 0.07129 0 0.07853 0.11748 0.06261 0 137 128 0.07217 0 0.85164
169 1 1 0.03233 0.03443 0 0.38495 0.15716 0.34092 0.38057 273 133 0.15592 0 0.88691
170 0 1 0.24175 0.24062 0 0.0434 0.07498 0 0 213 178 0.11656 0 0.72216
171 0 1 0.04247 0.01271 0 -0.11873 0.07957 0.13116 0.3255 168 160 0.04817 0 0.86776
172 1 1 0.05957 0.02287 0 0.1377 0.07837 0.05588 0.58006 183 152 0.04733 0 0.8339
173 0 1 0.2039 0.25055 0 0.10589 0.19615 0 0.06232 310 118 0.05878 0 0.76307
174 0 0 0.16988 0.18919 1 -0.00386 0.36527 0.12151 0 164 140 0.32432 0 0.58784
175 0 1 0.27985 0.08832 0 0.083 0.07076 0.02642 0.69813 204 153 -0.23335 0 0.69798
176 0 0 0.0531 0.00849 0 0.174 -0.06373 0.63354 0 178 153 -0.24421 0 0.9115
177 1 0 -3.73115 0 0 0.66982 -0.09846 0.94209 0 218 182 0.26285 0 3.7507
178 0 0 0.22237 0.03194 0 0.30217 0.00191 0 0 191 161 0.14551 0 0.66748
179 1 0 -0.01145 0.07724 0 0.19336 0.03186 0.00279 0 275 139 0.03626 0 0.82482
180 0 1 0.04711 0.0161 1 0.34591 0.03894 0.20256 0 204 152 -0.00242 0 0.9225
181 1 1 0.01358 0.02354 1 0.14321 0.03707 0.00486 0.59312 279 173 -0.19812 0 0.88644
182 1 0 -0.59516 0.00488 1 -0.21951 -0.55523 0.27963 0.45982 225 179 -0.2801 0 1.03
183 0 1 0.2889 0.06473 0 0.69812 0.41115 0.54751 0.44195 143 128 0.39546 0 0.68897
184 0 1 0.70146 0.05796 0 0.87808 0.21658 0 0 154 133 0.2047 0 0.0702
185 0 1 0.17241 0.0183 0 0.33075 0.04293 0.02201 0.14227 152 126 0.07367 0 0.60168
186 0 1 0.0591 0.05056 0 -0.09019 0.06975 0.03172 0 153 124 -0.08537 0 0.8603
187 1 1 -0.0104 0.05463 1 0.19507 0.11158 0 0 173 142 -0.04711 0 0.9354
188 1 0 0.03654 0.01854 1 0.07269 0.01814 0.05592 0.13341 304 199 -0.01818 0 0.86641
189 0 1 0.62536 0.0001 0 0.64647 0.14536 0.08126 0 292 272 0.16732 0 0.29927
190 0 1 -0.00447 0.07442 0 0.12756 0.06078 0.00032 0.74184 204 174 -0.14733 0 0.9227
191 1 1 0.07458 0.01435 0 0.12599 0.09609 0.21217 0.19626 253 183 0.00395 0 0.87396
192 1 0 -0.03751 0.00268 0 0.31445 0.03088 0.63105 0.25961 165 162 -0.03951 0 0.8682
193 0 1 0.08193 0.10307 0 0.00294 0.03894 0.00432 0 165 159 0.02201 0 0.87391
194 1 0 0.01129 0.01779 0 0.21709 0.06836 0 0 175 151 0.16934 0 0.6304
195 0 0 0.08352 0.25923 0 0.06688 -0.03775 0 0 177 152 -0.31533 0 0.8512
196 0 0 0.11827 0.0299 0 0.44136 0.02976 0.43276 0.54404 348 320 0.03245 0 0.86669
197 0 1 0.34704 0.03271 0 0.33643 0.2139 0.08757 0 160 124 0.29787 0 0.63911
198 0 0 0.0713 0.00431 0 0.36725 -0.03389 0.27038 0 268 177 0.13984 0 0.88667
199 0 0 -0.0268 0.00258 0 0.66301 0.10796 0.77545 0.155 180 144 0.05267 0 0.87348
200 0 1 0.31541 0.02188 0 0.34489 0.08628 0 0.22836 240 167 0.20998 0 0.51881
201 0 1 0.52533 0.50032 0 -0.00924 0.50152 0 0.01153 199 167 0.27926 0 0.38557
202 0 0 0.0113 0.02327 0 0.22337 0.13516 0.17447 0 213 153 0.72032 0 0.98024
203 0 1 0.12411 0.02711 0 0.09976 0.07615 0 0.6809 251 172 -0.31601 0 0.75939
204 0 1 0.15949 0.00027 0 0.1932 0.05341 0.3647 0.59295 183 137 0.11156 0 0.7564
205 0 0 0.01541 0.01503 0 0.35204 0.02334 0.28133 0.34696 296 154 -0.05021 0 0.90097
206 0 0 0.1457 0.61781 0 -0.36311 0.63919 0.00908 0 334 113 0.23926 0 0.6608
207 0 1 0.02529 0.00275 0 0.18869 5e-05 0.57134 0 184 178 -0.06762 0 0.93502
208 0 0 0.57521 0.09326 0 0.39338 0.21883 0 0 219 97 0.33718 0 0.27316
209 1 0 -2.13897 8e-05 0 -0.60609 -0.82646 0.3936 0 195 172 -0.69707 0 1.41
